ticker,name,exchange
A,Agilent Technologies Inc.,NYSE
ABT,Abbott Laboratories,NYSE
ACN,Accenture plc,NYSE
AIG,American International Group Inc.,NYSE
BAC,Bank of America Corporation,NYSE
BA,Boeing Company,NYSE
C,Citigroup Inc.,NYSE
CAT,Caterpillar Inc.,NYSE
CL,Colgate-Palmolive Company,NYSE
CMCSA,Comcast Corporation,NYSE
COP,ConocoPhillips,NYSE
CVX,Chevron Corporation,NYSE
D,Dominion Energy Inc.,NYSE
DD,DuPont de Nemours Inc.,NYSE
DIS,The Walt Disney Company,NYSE
DOW,Dow Inc.,NYSE
GE,General Electric Company,NYSE
GILD,Gilead Sciences Inc.,NYSE
GM,General Motors Company,NYSE
GS,The Goldman Sachs Group Inc.,NYSE
HD,The Home Depot Inc.,NYSE
HON,Honeywell International Inc.,NYSE
IBM,International Business Machines Corporation,NYSE
JNJ,Johnson & Johnson,NYSE
JPM,JPMorgan Chase & Co.,NYSE
KO,The Coca-Cola Company,NYSE
LMT,Lockheed Martin Corporation,NYSE
MCD,McDonald's Corporation,NYSE
MDT,Medtronic plc,NYSE
MMM,3M Company,NYSE
MO,Altria Group Inc.,NYSE
MRK,Merck & Co., Inc.,NYSE
MS,Morgan Stanley,NYSE
NEE,NextEra Energy Inc.,NYSE
NKE,Nike Inc.,NYSE
ORCL,Oracle Corporation,NYSE
PEP,PepsiCo Inc.,NYSE
PFE,Pfizer Inc.,NYSE
PG,Procter & Gamble Co.,NYSE
RTX,Raytheon Technologies Corporation,NYSE
SBUX,Starbucks Corporation,NYSE
SLB,Schlumberger Limited,NYSE
SO,The Southern Company,NYSE
SPGI,S&P Global Inc.,NYSE
T,AT&T Inc.,NYSE
TGT,Target Corporation,NYSE
UNH,UnitedHealth Group Incorporated,NYSE
UPS,United Parcel Service Inc.,NYSE
V, Visa Inc.,NYSE
VZ,Verizon Communications Inc.,NYSE
WMT,Walmart Inc.,NYSE
XOM,Exxon Mobil Corporation,NYSE
